series_id	prestructure_component_id	component_series_count	retained_ligand_count	retained_nonempty_scaffold_count	retained_pKd_range	scaffold_cluster_count	eligible_scaffold_cluster_count	target_names	publication_id	pdb_id	alignment_identity	resolution_angstrom
G3S-d207c324846b2507	G3C-001	211	12	12	3.75696195	11	1	Cyclin-dependent kinase 8	doi:10.1038/nbt.1990	3RGF	1	2.2
G3S-d25ad64514236b8b	G3C-001	211	13	8	2.04266815	2	0	Bromodomain-containing protein 4	doi:10.1021/acs.jmedchem.5b01511	5DX4	1	2.3
G3S-d2858f5dc6d0d6d2	G3C-001	211	11	6	2.45974716	3	1	Carbonic anhydrase 2	doi:10.1021/acs.jmedchem.7b01408	6QL3	0.980769231	1.35
G3S-d392e1d59c314666	G3C-001	211	14	9	3.28477925	3	2	Carbonic anhydrase 2	doi:10.1021/acs.jmedchem.5b01723	5LLC	1	1.1
G3S-d3c114d403b4f6e6	G3C-001	211	27	10	1.2170299	1	0	Serine/threonine-protein kinase B-raf	doi:10.1016/j.bmcl.2011.07.019	1UWH	0.996376812	2.95
G3S-d51a503970da5ba2	G3C-001	211	8	7	1.92634245	6	0	Heat shock protein HSP 90-alpha	pmid:39256986	5VYY	1	1.792
G3S-d587ea9877aeacf1	G3C-001	211	40	40	3.52680904	33	4	Cyclin-G-associated kinase	doi:10.1038/nbt.1990	5Y7Z	1	2.804
G3S-d5eff434a516ab97	G3C-001	211	26	26	2.9115781	21	3	BDNF/NT-3 growth factors receptor	doi:10.1038/nbt.1990	4AT5	1	1.71
G3S-d5f2b3941320fd29	G3C-001	211	12	3	4	2	0	Lysosomal acid glucosylceramidase	pmid:38932616	9FA3	1	1.36
G3S-d63ca398425bbdff	G3C-001	211	23	13	3.80163235	2	0	Focal adhesion kinase 1	doi:10.1021/jm3016014	4GU6	1	1.95
G3S-d82e40f7bc270eb2	G3C-001	211	42	6	3.23240962	3	0	Carbonic anhydrase 13	doi:10.1016/j.bmc.2013.09.029	4QSJ	1	1.7
G3S-da6a7a5b92d16f5d	G3C-001	211	24	3	3.88169184	2	0	Cyclin-G-associated kinase	doi:10.1016/j.bmcl.2019.05.025	5Y7Z	1	2.804
G3S-da8fc773cdc768de	G3C-001	211	20	10	3.30103	5	4	Gamma-aminobutyric acid receptor subunit alpha-1	doi:10.1021/jm701433b	6HUP	1	3.58
G3S-dc79a9836344f3ec	G3C-001	211	8	8	1.17107046	7	1	Ephrin type-A receptor 4	doi:10.1038/nbt1358	2Y6O	0.996563574	1.543
G3S-dd8aacb779840031	G3C-001	211	26	25	2.1438743	21	4	Ephrin type-A receptor 2 [596-900]	doi:10.1021/acschembio.6b00709	5I9Y	1	1.228
G3S-de0a2a7c1887af78	G3C-001	211	14	14	1.25527251	4	2	Peregrin	doi:10.1016/j.ejmech.2018.05.037	5MWH	1	1.65
G3S-de2a24cde8ae391c	G3C-001	211	23	23	2.87506126	16	2	Ephrin type-B receptor 4	doi:10.1038/nbt.1990	6FNM	0.989830508	1.157
G3S-df91bc0fd4e2076d	G3C-001	211	27	16	4.48170315	2	0	Carbonic anhydrase 7	doi:10.1016/j.bmc.2013.01.008	3MDZ	1	2.32
G3S-dfc845f5fdda1698	G3C-001	211	10	5	1.21714049	2	1	Galectin-8	pmid:32809817	6W4Z	0.993464052	1.59
G3S-e06c6b7aad2ea234	G3C-001	211	15	5	1.55716334	5	0	Endolysin [L99A]	doi:10.1021/jm0491187	7L3C	0.987804878	1.31
G3S-e1d12f0e7fc3ce7f	G3C-001	211	8	7	2.07496476	1	0	Protein-tyrosine kinase 2-beta	pmid:33497606	8XOX	1	1.9
G3S-e3b2a2841a5b18a5	G3C-001	211	18	18	3.32874082	17	1	Proto-oncogene tyrosine-protein kinase receptor Ret	doi:10.1038/nbt.1990	2IVU	1	2.5
G3S-e710b4e67d7724f9	G3C-001	211	20	19	3.09017663	16	4	Cyclin-G-associated kinase	doi:10.1038/nbt1358	5Y7Z	1	2.804
G3S-e7f816aed727534b	G3C-001	211	42	6	3.24565166	3	0	Carbonic anhydrase 2	doi:10.1016/j.bmc.2013.09.029	3SAX	1	1.1
G3S-e9de90d69aed4dc3	G3C-001	211	15	6	2.67778071	1	0	Beta-secretase 1	doi:10.1021/jm200544q	3RU1	0.99513382	2.3
G3S-eb73c8235716ab91	G3C-001	211	28	18	5.15472821	3	0	Carbonic anhydrase 1	doi:10.1016/j.bmc.2013.01.008	4WR7	1	1.5
G3S-ee6c97e67f1fb0d7	G3C-001	211	14	9	3.35051536	2	2	Carbonic anhydrase 13	doi:10.1021/acs.jmedchem.7b01408	5LLA	1	1.5
G3S-eea0596469e3b875	G3C-001	211	11	7	5.49664339	2	1	Carbonic anhydrase 1	doi:10.1021/acs.jmedchem.5b01723	4WR7	1	1.5
G3S-f223745e3dee7f3b	G3C-001	211	10	7	5.39794001	3	3	Tumor necrosis factor	doi:10.1021/acs.jmedchem.0c01280	6X85	1	2.85
G3S-f2318d3b76296c29	G3C-001	211	8	7	3.66275783	6	2	Epidermal growth factor receptor	doi:10.1038/nbt1068	4WKQ	1	1.85
G3S-f27bb6dc0560b24d	G3C-001	211	20	12	1.72631961	1	0	Nuclear receptor ROR-gamma	pmid:37236000	8GXP	1	2.45
G3S-f2ec313bd7b3ce78	G3C-001	211	18	7	1.63202321	1	0	Histone deacetylase 8	doi:10.1016/j.bmc.2011.11.041	4QA0	0.99734748	2.242
G3S-f42b5d20c7dcac28	G3C-001	211	20	12	4.3783979	5	0	Retinal rod rhodopsin-sensitive cGMP 3',5'-cyclic phosphodiesterase subunit delta	pmid:38758695	5ML3	1	1.4
G3S-f4966ebce19de7c0	G3C-001	211	15	15	2.88922606	13	2	Proto-oncogene tyrosine-protein kinase receptor Ret	doi:10.1038/nbt1358	2IVU	1	2.5
G3S-f5c4fa2e79c47654	G3C-001	211	10	6	3.29320466	5	3	D(1A) dopamine receptor	doi:10.1021/jm950447w	7CKZ	1	3.1
G3S-f9b101ab9b60896c	G3C-001	211	9	9	1.32509303	8	1	Tyrosine-protein kinase JAK2	pmid:38843875	6VNE	1	2.32
G3S-fb6b9c4b9d6641a2	G3C-001	211	14	6	1.69897	1	0	Bromodomain-containing protein 4	doi:10.1021/acs.jmedchem.5b01267	5D3L	0.992125984	1.5
G3S-fb6cb3a33814d85e	G3C-001	211	17	9	2.56066731	1	0	Receptor-interacting serine/threonine-protein kinase 2	pmid:36058467	6RN8	1	2.69
G3S-fb7593ab116f7278	G3C-001	211	11	10	1.66005194	3	0	Complement factor D	doi:10.1021/acsmedchemlett.8b00104	6FTZ	1	1.67
G3S-fc8dc45b48055767	G3C-001	211	23	23	5.07525095	16	4	Serine/threonine-protein kinase 10	doi:10.1038/nbt1358	5OWR	1	2.3
G3S-fd168e6ca4c62f5c	G3C-001	211	8	6	2.30343607	1	0	Retinoic acid receptor RXR-alpha	doi:10.1021/acs.jmedchem.5b00829	3H0A	1	2.1
G3S-fe0860941e1bd481	G3C-001	211	10	10	1.48811664	10	0	Gastrotropin	doi:10.1021/acs.jmedchem.6b00869	5L8N	1	2.12
G3S-ff4e5bfc253b96ea	G3C-001	211	86	37	5.3399317	11	5	Sex hormone-binding globulin	doi:10.1021/jm7011485	1F5F	1	1.7
G3S-ff7784d287172c20	G3C-001	211	16	15	1.75966784	2	0	Lanosterol 14-alpha-demethylase	doi:10.1016/j.chembiol.2007.10.011	2WV2	1	2.7
G3S-fffc85fa1583cd07	G3C-001	211	17	11	3.0281942	5	1	PA-I galactophilic lectin	pmid:26804741	4A6S	1	2.15
G3S-3a4ac119455247b0	G3C-002	2	8	4	2.37358066	2	0	Peptidyl-prolyl cis-trans isomerase A	doi:10.1021/acs.jmedchem.6b01329	5T9Z	1	1.4
G3S-a496fe9cc69b5d9f	G3C-002	2	23	17	2.15358392	3	0	Peptidyl-prolyl cis-trans isomerase A	doi:10.1021/acs.jmedchem.8b00802	6X4O	1	1.5
G3S-0adfbd2895adde2d	G3C-003	1	9	3	2.66118144	1	0	Alpha-tocopherol transfer protein	doi:10.1016/j.bmc.2009.10.046	1R5L	1	1.5
G3S-1f6e9ae98fcbd583	G3C-004	1	22	22	4.1383027	1	0	Caspase-6	doi:10.1021/acs.jmedchem.3c00590	4NBL	0.996296296	1.756
G3S-441b618a57261680	G3C-005	1	21	19	2.72153583	2	2	Nitric oxide synthase oxygenase	doi:10.1021/acs.biochem.5b00431	4UG7	0.991735537	1.76
G3S-532f119ff68b2182	G3C-006	1	13	8	2.04575749	1	0	S-methyl-5'-thioadenosine phosphorylase	doi:10.1021/acs.jmedchem.8b01642	6DYZ	1	1.62
G3S-5fea584126042c2e	G3C-007	1	11	3	4.46922412	1	0	Programmed cell death 1 ligand 1	pmid:35429911	5J89	1	2.2
G3S-7441d96b81b94068	G3C-008	1	18	8	3.95424251	1	0	Transcription activator BRG1	doi:10.1021/acs.jmedchem.3c01149	7TAB	1	1.16
G3S-7e32e8326784c5b1	G3C-009	1	9	4	2.13469857	1	0	E3 ubiquitin-protein ligase CBL-B	pmid:38894924	8VW5	0.990322581	1.76
G3S-95eff58067253a12	G3C-010	1	9	6	2.86530143	2	1	Glucokinase regulatory protein	doi:10.1021/acs.jmedchem.5b01367	4PX3	1	2.43
G3S-b9a14ea86c9556ea	G3C-011	1	8	7	1.462398	1	0	Peroxisome proliferator-activated receptor gamma	doi:10.1016/j.bmcl.2014.06.023	3VSP	1	2.4
G3S-e2e78f6cb47c8e4c	G3C-012	1	14	9	4.2787536	3	0	Polycomb protein EED	doi:10.1021/acs.jmedchem.7b00576	5U69	1	1.28
G3S-e36179cfc1b7610c	G3C-013	1	19	12	1.84677162	1	0	Tyrosine-protein phosphatase non-receptor type 11	pmid:39110625	8WX7	1	2.02
